location_PK,Division,Longitude,Latitude
2759,D43,-79.26456829,43.77894611
2760,D42,-79.23260362,43.79093805
2761,D32,-79.44648969,43.78907776
2762,D32,-79.44296724,43.77385953
2763,D33,-79.34935935,43.73243655
2764,D33,-79.3724657,43.808508
2765,D42,-79.33826909,43.8085283
2766,D41,-79.28235993,43.6956405
2767,D32,-79.39403457,43.74922482
2768,D43,-79.18935823,43.74966021
2769,D32,-79.43668237,43.7482637
2770,D41,-79.26350654,43.72558497
2771,D31,-79.48260563,43.72906154
2772,D43,-79.18618956,43.77528104
2773,D53,-79.42896502,43.71595114
2774,D33,-79.33698917,43.78137703
2775,D42,-79.27625947,43.79216571
2776,D41,-79.29379769,43.76056849
2777,D41,-79.28767679,43.76425913
2778,D53,-79.4202925,43.71315502
2779,D32,-79.45918198,43.76233174
2780,D42,-79.29489072,43.82070732
2781,D42,-79.20147591,43.81784448
2782,D32,-79.44653676,43.78174825
2783,D23,-79.62177592,43.72745255
2784,D13,-79.45852508,43.7069916
2785,D11,-79.46111499,43.66377121
2786,D12,-79.5039677,43.68889241
2787,D41,-79.28985916,43.76504478
2788,D22,-79.52546653,43.62123537
2789,D13,-79.44477692,43.70147661
2790,D33,-79.31825386,43.72613519
2791,D52,-79.38521897,43.66654709
2792,D11,-79.44805182,43.65723488
2793,D52,-79.3883628,43.64757108
2794,D22,-79.55670104,43.60729593
2795,D55,-79.34271326,43.66118186
2796,D43,-79.22502207,43.7623455
2797,D33,-79.33731502,43.80639973
2798,D22,-79.51984025,43.66088016
2799,D33,-79.3568455,43.80850985
2800,D42,-79.27348893,43.81241528
2801,D54,-79.30498512,43.71014053
2802,D12,-79.5047176,43.71574209
2803,D13,-79.44459972,43.67498093
2804,D32,-79.4395408,43.78221989
2805,D23,-79.62198544,43.74687755
2806,D22,-79.56194196,43.65867313
2807,D14,-79.419703,43.67025263
2808,D14,-79.42852157,43.65896544
2809,D53,-79.3917387,43.71260726
2810,D42,-79.31613834,43.80116598
2811,D23,-79.59552737,43.68675813
2812,D53,-79.38368576,43.68797394
2813,D54,-79.32694623,43.69435915
2814,D12,-79.53358776,43.70778746
2815,D43,-79.22598086,43.77974284
2816,D32,-79.43378228,43.72834513
2817,D41,-79.28417804,43.75800338
2818,D42,-79.28625051,43.80375133
2819,D12,-79.46880936,43.68007719
2820,D31,-79.52742826,43.76725345
2821,D12,-79.49800838,43.69639629
2822,D51,-79.37267618,43.65234821
2823,D43,-79.21210371,43.78638738
2824,D12,-79.52818848,43.70979327
2825,D43,-79.12873173,43.78392918
2826,D22,-79.55866947,43.64407064
2827,D55,-79.35319693,43.66694122
2828,D14,-79.41524431,43.65881487
2829,D22,-79.51616371,43.67920168
2830,D41,-79.25676469,43.72015205
2831,D13,-79.44713126,43.69471797
2832,D32,-79.40989894,43.78756976
2833,D41,-79.29356837,43.71617386
2834,D53,-79.37830655,43.71077319
2835,D41,-79.26048934,43.72954825
